Timestamp,Server,Throughput (Mbps)
2025-03-27 00:33:06,Virginia,3710.5574456947397
2025-03-27 00:43:31,Oregon,3842.66766532065
2025-03-27 00:43:54,Virginia,3535.3723349714483
2025-03-27 00:54:19,Oregon,3903.8223323607494
2025-03-27 00:54:42,Virginia,3691.952845532927
2025-03-27 01:05:06,Oregon,3594.7986599519268
2025-03-27 01:05:30,Virginia,3618.3847356566803
2025-03-27 01:15:54,Oregon,3807.0017694962958
2025-03-27 01:16:18,Virginia,4019.527379189547
2025-03-27 01:26:42,Oregon,3293.2039932217363
2025-03-27 01:27:05,Virginia,3671.107072272858
2025-03-27 01:37:30,Oregon,4067.068620272625
2025-03-27 01:37:53,Virginia,3696.95853689182
2025-03-27 01:48:18,Oregon,3524.65411091108
2025-03-27 01:48:41,Virginia,3392.511946192101
2025-03-27 01:59:05,Oregon,4396.193574886698
2025-03-27 01:59:29,Virginia,3720.666062316408
2025-03-27 02:09:53,Oregon,4126.179055809554
2025-03-27 02:10:16,Virginia,3614.686658659603
2025-03-27 02:20:41,Oregon,3992.61033237413
2025-03-27 02:21:04,Virginia,3888.6754471122135
2025-03-27 02:31:29,Oregon,3711.1609524491864
2025-03-27 02:31:52,Virginia,3762.7996757793885
2025-03-27 02:42:16,Oregon,3882.384946811149
2025-03-27 02:42:40,Virginia,3836.353267309941
2025-03-27 02:53:04,Oregon,3453.4927418746
2025-03-27 02:53:28,Virginia,3569.0848809274357
2025-03-27 03:03:52,Oregon,3273.404620571611
2025-03-27 03:04:15,Virginia,3842.8016247430023
2025-03-27 03:14:40,Oregon,3947.3334772245635
2025-03-27 03:15:03,Virginia,3670.1096322001413
2025-03-27 03:25:28,Oregon,3286.1029466946275
2025-03-27 03:25:51,Virginia,3593.108489134217
2025-03-27 03:36:15,Oregon,3548.2708327771
2025-03-27 03:36:39,Virginia,3588.414897869123
2025-03-27 03:47:03,Oregon,3588.554491881702
2025-03-27 03:47:27,Virginia,3639.38618165048
2025-03-27 03:57:51,Oregon,3530.756801106028
2025-03-27 03:58:14,Virginia,3602.708598586546
2025-03-27 04:08:39,Oregon,3971.691719777069
2025-03-27 04:09:02,Virginia,3672.1658648447187
2025-03-27 04:19:27,Oregon,4351.215773722176
2025-03-27 04:19:50,Virginia,3445.5785234034947
2025-03-27 04:30:15,Oregon,3376.073575878324
2025-03-27 04:30:38,Virginia,3533.2500670119
2025-03-27 04:41:03,Oregon,3583.591086086587
2025-03-27 04:41:26,Virginia,3800.9625437529526
2025-03-27 04:51:50,Oregon,4178.195174436883
2025-03-27 04:52:14,Virginia,3476.87198142534
2025-03-27 05:02:38,Oregon,3640.656974215806
2025-03-27 05:03:02,Virginia,3788.517800274386
2025-03-27 05:13:26,Oregon,3613.403409320452
2025-03-27 05:13:49,Virginia,3608.625587554568
2025-03-27 05:24:14,Oregon,3779.5791267312466
2025-03-27 05:24:37,Virginia,3721.9415247646943
2025-03-27 05:35:02,Oregon,4065.4002073275815
2025-03-27 05:35:25,Virginia,3729.7226242235647
2025-03-27 05:45:49,Oregon,3747.1805745822144
2025-03-27 05:46:13,Virginia,3855.331167162762
2025-03-27 05:56:37,Oregon,3676.616110465121
2025-03-27 05:57:01,Virginia,3713.2057393379355
2025-03-27 06:07:25,Oregon,3602.645573624451
2025-03-27 06:07:48,Virginia,3541.878100783478
2025-03-27 06:18:13,Oregon,3430.057238731501
2025-03-27 06:18:36,Virginia,3756.037516164037
